publishDate,wordpressId,title,episodeNo
2012-03-28,18362,Lightsabers &#038; Legacies | TORked 1,1
2012-04-04,18571,"Tank, Heal or Damage | TORked 2",2
2012-04-11,18712,Power of the Sith | TORked 3,3
2012-04-18,18828,A Heart Of Credits | TORked 4,4
2012-04-25,18942,Corellia Dailies | TORked 5,5
2012-05-02,19206,Spectre of the Gun | TORked 6,6
2012-05-09,19408,Guardians of Peace | TORked 7,7
